date,venue,teams,toss_winner,toss_decision,match_winner,players
2024-04-07,"Wankhede Stadium, Mumbai","('Delhi Capitals', 'Mumbai Indians')",Delhi Capitals,field,Mumbai Indians,"(('A Nortje', 'AR Patel', 'Abishek Porel', 'DA Warner', 'I Sharma', 'JA Richardson', 'KK Ahmed', 'Kumar Kushagra', 'Lalit Yadav', 'PP Shaw', 'RR Pant', 'T Stubbs'), ('Akash Madhwal', 'G Coetzee', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'Mohammad Nabi', 'PP Chawla', 'R Shepherd', 'RG Sharma', 'SA Yadav', 'TH David', 'Tilak Varma'))"
2017-04-17,"Rajiv Gandhi International Stadium, Uppal","('Kings XI Punjab', 'Sunrisers Hyderabad')",Kings XI Punjab,field,Sunrisers Hyderabad,"(('AR Patel', 'DA Miller', 'EJG Morgan', 'GJ Maxwell', 'HM Amla', 'I Sharma', 'KC Cariappa', 'M Vohra', 'MM Sharma', 'Sandeep Sharma', 'WP Saha'), ('B Kumar', 'BB Sran', 'DA Warner', 'DJ Hooda', 'MC Henriques', 'Mohammad Nabi', 'NV Ojha', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Yuvraj Singh'))"
2008-05-09,Sawai Mansingh Stadium,"('Deccan Chargers', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('AC Gilchrist', 'DB Ravi Teja', 'DP Vijaykumar', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RP Singh', 'SB Bangar', 'SB Styris', 'Shahid Afridi', 'Y Venugopal Rao'), ('GC Smith', 'M Kaif', 'M Rawat', 'MM Patel', 'Niraj Patel', 'RA Jadeja', 'SK Trivedi', 'SK Warne', 'SR Watson', 'Sohail Tanvir', 'YK Pathan'))"
2014-05-22,JSCA International Stadium Complex,"('Chennai Super Kings', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('DJ Hussey', 'DR Smith', 'F du Plessis', 'JW Hastings', 'M Manhas', 'MM Sharma', 'MS Dhoni', 'P Negi', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AJ Finch', 'B Kumar', 'DA Warner', 'DJG Sammy', 'DW Steyn', 'IK Pathan', 'KV Sharma', 'NV Ojha', 'Parvez Rasool', 'S Dhawan', 'Y Venugopal Rao'))"
2017-04-10,Holkar Cricket Stadium,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,bat,Kings XI Punjab,"(('AR Patel', 'DA Miller', 'GJ Maxwell', 'HM Amla', 'M Vohra', 'MM Sharma', 'MP Stoinis', 'Sandeep Sharma', 'T Natarajan', 'VR Aaron', 'WP Saha'), ('AB de Villiers', 'B Stanlake', 'Iqbal Abdulla', 'KM Jadhav', 'Mandeep Singh', 'P Negi', 'SR Watson', 'STR Binny', 'TS Mills', 'Vishnu Vinod', 'YS Chahal'))"
2020-09-25,Dubai International Cricket Stadium,"('Chennai Super Kings', 'Delhi Capitals')",Chennai Super Kings,field,Delhi Capitals,"(('DL Chahar', 'F du Plessis', 'JR Hazlewood', 'KM Jadhav', 'M Vijay', 'MS Dhoni', 'PP Chawla', 'RA Jadeja', 'RD Gaikwad', 'SM Curran', 'SR Watson'), ('A Mishra', 'A Nortje', 'AR Patel', 'Avesh Khan', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer'))"
2020-09-20,Dubai International Cricket Stadium,"('Delhi Capitals', 'Kings XI Punjab')",Kings XI Punjab,field,no-result,"(('A Nortje', 'AR Patel', 'K Rabada', 'MM Sharma', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer'), ('CJ Jordan', 'GJ Maxwell', 'K Gowtham', 'KK Nair', 'KL Rahul', 'MA Agarwal', 'Mohammed Shami', 'N Pooran', 'Ravi Bishnoi', 'SN Khan', 'SS Cottrell'))"
2012-04-10,Feroz Shah Kotla,"('Chennai Super Kings', 'Delhi Daredevils')",Delhi Daredevils,field,Delhi Daredevils,"(('DE Bollinger', 'DJ Bravo', 'F du Plessis', 'JA Morkel', 'M Vijay', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SB Jakati', 'SK Raina'), ('DPMD Jayawardene', 'IK Pathan', 'KP Pietersen', 'M Morkel', 'NV Ojha', 'RE van der Merwe', 'S Nadeem', 'UT Yadav', 'V Sehwag', 'Y Nagar', 'Y Venugopal Rao'))"
2014-05-05,"Sardar Patel Stadium, Motera","('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Rajasthan Royals,"(('AD Russell', 'G Gambhir', 'MK Pandey', 'R Vinay Kumar', 'RN ten Doeschate', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav', 'YK Pathan'), ('AM Rahane', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'R Bhatia', 'R Tewatia', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson', 'TG Southee'))"
2025-04-20,"Wankhede Stadium, Mumbai","('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('A Mhatre', 'J Overton', 'KK Ahmed', 'M Pathirana', 'MS Dhoni', 'Noor Ahmad', 'R Ashwin', 'R Ravindra', 'RA Jadeja', 'S Dube', 'SK Rasheed', 'V Shankar'), ('Ashwani Kumar', 'DL Chahar', 'HH Pandya', 'JJ Bumrah', 'MJ Santner', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'WG Jacks'))"
2018-04-10,MA Chidambaram Stadium,"('Chennai Super Kings', 'Kolkata Knight Riders')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'Harbhajan Singh', 'Imran Tahir', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson', 'SW Billings'), ('AD Russell', 'CA Lynn', 'KD Karthik', 'Kuldeep Yadav', 'N Rana', 'PP Chawla', 'R Vinay Kumar', 'RK Singh', 'RV Uthappa', 'SP Narine', 'TK Curran'))"
2023-05-02,"Narendra Modi Stadium, Ahmedabad","('Delhi Capitals', 'Gujarat Titans')",Delhi Capitals,bat,Delhi Capitals,"(('A Nortje', 'AR Patel', 'Aman Hakim Khan', 'DA Warner', 'I Sharma', 'KK Ahmed', 'Kuldeep Yadav', 'MK Pandey', 'PD Salt', 'PK Garg', 'RR Rossouw', 'RV Patel'), ('A Manohar', 'DA Miller', 'HH Pandya', 'J Little', 'MM Sharma', 'Mohammed Shami', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'V Shankar', 'WP Saha'))"
2009-05-03,New Wanderers Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,bat,Royal Challengers Bangalore,"(('AM Nayar', 'AM Rahane', 'DJ Bravo', 'Harbhajan Singh', 'JP Duminy', 'PR Shah', 'S Dhawan', 'SL Malinga', 'SR Tendulkar', 'ST Jayasuriya', 'Z Khan'), ('A Kumble', 'D du Preez', 'JH Kallis', 'MV Boucher', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'RE van der Merwe', 'RV Uthappa', 'V Kohli', 'W Jaffer'))"
2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala","('Chennai Super Kings', 'Punjab Kings')",Punjab Kings,field,Chennai Super Kings,"(('AM Rahane', 'DJ Mitchell', 'MJ Santner', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'RJ Gleeson', 'S Dube', 'SN Thakur', 'Simarjeet Singh', 'TU Deshpande'), ('Arshdeep Singh', 'Ashutosh Sharma', 'HV Patel', 'Harpreet Brar', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'P Simran Singh', 'RD Chahar', 'RR Rossouw', 'SM Curran', 'Shashank Singh'))"
2016-04-30,Feroz Shah Kotla,"('Delhi Daredevils', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Delhi Daredevils,"(('A Mishra', 'CH Morris', 'CR Brathwaite', 'KK Nair', 'Mohammed Shami', 'Q de Kock', 'RR Pant', 'SS Iyer', 'SV Samson', 'SW Billings', 'Z Khan'), ('AD Russell', 'G Gambhir', 'GB Hogg', 'JO Holder', 'PP Chawla', 'R Sathish', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2010-04-08,M Chinnaswamy Stadium,"('Deccan Chargers', 'Royal Challengers Bangalore')",Deccan Chargers,field,Deccan Chargers,"(('A Symonds', 'AC Gilchrist', 'Harmeet Singh', 'MD Mishra', 'MR Marsh', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'TL Suman', 'Y Venugopal Rao'), ('A Kumble', 'CL White', 'DW Steyn', 'JH Kallis', 'LRPL Taylor', 'MK Pandey', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2011-05-08,M Chinnaswamy Stadium,"('Kochi Tuskers Kerala', 'Royal Challengers Bangalore')",Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'M Klinger', 'P Parameswaran', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RR Powar', 'RV Gomez'), ('A Mithun', 'AB de Villiers', 'CA Pujara', 'CH Gayle', 'DL Vettori', 'M Kaif', 'S Aravind', 'SS Tiwary', 'TM Dilshan', 'V Kohli', 'Z Khan'))"
2017-04-29,Saurashtra Cricket Association Stadium,"('Gujarat Lions', 'Mumbai Indians')",Gujarat Lions,bat,no-result,"(('AJ Finch', 'AJ Tye', 'Ankit Soni', 'BB McCullum', 'Basil Thampi', 'IK Pathan', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'RA Jadeja', 'SK Raina'), ('HH Pandya', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'N Rana', 'PA Patel', 'RG Sharma', 'SL Malinga'))"
2015-04-19,M Chinnaswamy Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Mumbai Indians,"(('AT Rayudu', 'HH Pandya', 'Harbhajan Singh', 'JJ Bumrah', 'KA Pollard', 'LMP Simmons', 'MJ McClenaghan', 'PA Patel', 'RG Sharma', 'SL Malinga', 'UBT Chand'), ('AB de Villiers', 'AN Ahmed', 'CH Gayle', 'D Wiese', 'Iqbal Abdulla', 'KD Karthik', 'MS Bisla', 'RR Rossouw', 'V Kohli', 'VR Aaron', 'YS Chahal'))"
2020-10-08,Dubai International Cricket Stadium,"('Kings XI Punjab', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"(('Arshdeep Singh', 'GJ Maxwell', 'KL Rahul', 'MA Agarwal', 'Mandeep Singh', 'Mohammed Shami', 'Mujeeb Ur Rahman', 'N Pooran', 'P Simran Singh', 'Ravi Bishnoi', 'SS Cottrell'), ('Abdul Samad', 'Abhishek Sharma', 'DA Warner', 'JM Bairstow', 'KK Ahmed', 'KS Williamson', 'MK Pandey', 'PK Garg', 'Rashid Khan', 'Sandeep Sharma', 'T Natarajan'))"
2022-05-07,"Maharashtra Cricket Association Stadium, Pune","('Kolkata Knight Riders', 'Lucknow Super Giants')",Kolkata Knight Riders,field,Lucknow Super Giants,"(('AD Russell', 'AJ Finch', 'AS Roy', 'B Indrajith', 'Harshit Rana', 'N Rana', 'RK Singh', 'SP Narine', 'SS Iyer', 'Shivam Mavi', 'TG Southee'), ('A Badoni', 'Avesh Khan', 'DJ Hooda', 'JO Holder', 'KH Pandya', 'KL Rahul', 'MP Stoinis', 'Mohsin Khan', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'))"
2014-05-13,M Chinnaswamy Stadium,"('Delhi Daredevils', 'Royal Challengers Bangalore')",Delhi Daredevils,field,Royal Challengers Bangalore,"(('Imran Tahir', 'JP Duminy', 'KD Karthik', 'KM Jadhav', 'KP Pietersen', 'M Vijay', 'MA Agarwal', 'Mohammed Shami', 'Q de Kock', 'R Shukla', 'S Kaul'), ('AB de Villiers', 'AN Ahmed', 'CH Gayle', 'M Muralitharan', 'MA Starc', 'PA Patel', 'S Rana', 'V Kohli', 'VH Zol', 'YS Chahal', 'Yuvraj Singh'))"
2022-04-18,"Brabourne Stadium, Mumbai","('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Rajasthan Royals,"(('AD Russell', 'AJ Finch', 'CV Varun', 'N Rana', 'PJ Cummins', 'SP Jackson', 'SP Narine', 'SS Iyer', 'Shivam Mavi', 'UT Yadav', 'VR Iyer'), ('D Padikkal', 'JC Buttler', 'KK Nair', 'M Prasidh Krishna', 'OC McCoy', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YS Chahal'))"
2008-04-28,M Chinnaswamy Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,bat,Chennai Super Kings,"(('JA Morkel', 'JDP Oram', 'Joginder Sharma', 'MEK Hussey', 'ML Hayden', 'MS Dhoni', 'MS Gony', 'P Amarnath', 'PA Patel', 'S Badrinath', 'SK Raina'), ('B Akhil', 'B Chipli', 'DW Steyn', 'JH Kallis', 'LRPL Taylor', 'MV Boucher', 'P Kumar', 'R Dravid', 'V Kohli', 'W Jaffer', 'Z Khan'))"
2019-05-05,Punjab Cricket Association IS Bindra Stadium,"('Chennai Super Kings', 'Kings XI Punjab')",Kings XI Punjab,field,Kings XI Punjab,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'Harbhajan Singh', 'Imran Tahir', 'KM Jadhav', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SR Watson'), ('AJ Tye', 'CH Gayle', 'Harpreet Brar', 'KL Rahul', 'M Ashwin', 'MA Agarwal', 'Mandeep Singh', 'Mohammed Shami', 'N Pooran', 'R Ashwin', 'SM Curran'))"
2011-04-15,Wankhede Stadium,"('Kochi Tuskers Kerala', 'Mumbai Indians')",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'KM Jadhav', 'NLTC Perera', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RR Powar', 'RV Gomez'), ('A Symonds', 'AG Murtaza', 'AT Rayudu', 'DJ Jacobs', 'Harbhajan Singh', 'KA Pollard', 'MM Patel', 'R Sathish', 'RG Sharma', 'SL Malinga', 'SR Tendulkar'))"
2025-04-08,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","('Chennai Super Kings', 'Punjab Kings')",Punjab Kings,bat,Punjab Kings,"(('DP Conway', 'KK Ahmed', 'M Pathirana', 'MS Dhoni', 'Mukesh Choudhary', 'Noor Ahmad', 'R Ashwin', 'R Ravindra', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'V Shankar'), ('Arshdeep Singh', 'GJ Maxwell', 'LH Ferguson', 'M Jansen', 'MP Stoinis', 'N Wadhera', 'P Simran Singh', 'Priyansh Arya', 'SS Iyer', 'Shashank Singh', 'YS Chahal', 'Yash Thakur'))"
2009-04-29,Kingsmead,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Kolkata Knight Riders,bat,Royal Challengers Bangalore,"(('AB Agarkar', 'AB Dinda', 'BB McCullum', 'BJ Hodge', 'CH Gayle', 'I Sharma', 'LR Shukla', 'M Kartik', 'MN van Wyk', 'SC Ganguly', 'WP Saha'), ('A Kumble', 'JH Kallis', 'KP Appanna', 'KP Pietersen', 'MK Pandey', 'MV Boucher', 'P Kumar', 'Pankaj Singh', 'RE van der Merwe', 'SP Goswami', 'V Kohli'))"
2010-03-16,M Chinnaswamy Stadium,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Kings XI Punjab,bat,Royal Challengers Bangalore,"(('Bipul Sharma', 'DPMD Jayawardene', 'IK Pathan', 'KC Sangakkara', 'M Kaif', 'MS Bisla', 'PP Chawla', 'RS Bopara', 'S Sreesanth', 'YA Abdulla', 'Yuvraj Singh'), ('A Kumble', 'DW Steyn', 'EJG Morgan', 'JH Kallis', 'MK Pandey', 'MV Boucher', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2013-04-20,Eden Gardens,"('Chennai Super Kings', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'JA Morkel', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('DB Das', 'EJG Morgan', 'G Gambhir', 'JH Kallis', 'L Balaji', 'LR Shukla', 'MK Tiwary', 'R Bhatia', 'SMSM Senanayake', 'SP Narine', 'YK Pathan'))"
2020-10-03,Sharjah Cricket Stadium,"('Delhi Capitals', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Delhi Capitals,"(('A Mishra', 'A Nortje', 'HV Patel', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer'), ('AD Russell', 'CV Varun', 'EJG Morgan', 'KD Karthik', 'KL Nagarkoti', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'SP Narine', 'Shivam Mavi', 'Shubman Gill'))"
2014-05-18,JSCA International Stadium Complex,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,bat,Royal Challengers Bangalore,"(('BB McCullum', 'DJ Hussey', 'DR Smith', 'IC Pandey', 'M Manhas', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badree', 'SK Raina'), ('AB de Villiers', 'AN Ahmed', 'CH Gayle', 'M Muralitharan', 'MA Starc', 'PA Patel', 'S Rana', 'V Kohli', 'VR Aaron', 'YS Chahal', 'Yuvraj Singh'))"
2020-11-05,Dubai International Cricket Stadium,"('Delhi Capitals', 'Mumbai Indians')",Delhi Capitals,field,Mumbai Indians,"(('A Nortje', 'AM Rahane', 'AR Patel', 'DR Sams', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SS Iyer'), ('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'NM Coulter-Nile', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'))"
2019-05-02,Wankhede Stadium,"('Mumbai Indians', 'Sunrisers Hyderabad')",Mumbai Indians,bat,no-result,"(('BB Sran', 'E Lewis', 'HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'), ('Abhishek Sharma', 'B Kumar', 'Basil Thampi', 'KK Ahmed', 'KS Williamson', 'MJ Guptill', 'MK Pandey', 'Mohammad Nabi', 'Rashid Khan', 'V Shankar', 'WP Saha'))"
2022-04-06,"Maharashtra Cricket Association Stadium, Pune","('Kolkata Knight Riders', 'Mumbai Indians')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'AM Rahane', 'CV Varun', 'N Rana', 'PJ Cummins', 'Rasikh Salam', 'SP Narine', 'SS Iyer', 'SW Billings', 'UT Yadav', 'VR Iyer'), ('Basil Thampi', 'D Brevis', 'DR Sams', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'M Ashwin', 'RG Sharma', 'SA Yadav', 'TS Mills', 'Tilak Varma'))"
2015-05-11,"Rajiv Gandhi International Stadium, Uppal","('Kings XI Punjab', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"(('AR Patel', 'Anureet Singh', 'BE Hendricks', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'Gurkeerat Singh', 'M Vijay', 'M Vohra', 'Sandeep Sharma', 'WP Saha'), ('B Kumar', 'Bipul Sharma', 'DA Warner', 'EJG Morgan', 'I Sharma', 'KL Rahul', 'KV Sharma', 'MC Henriques', 'NV Ojha', 'S Dhawan', 'TA Boult'))"
2011-04-13,"Punjab Cricket Association Stadium, Mohali","('Chennai Super Kings', 'Kings XI Punjab')",Kings XI Punjab,field,Kings XI Punjab,"(('JA Morkel', 'M Vijay', 'MS Dhoni', 'R Ashwin', 'S Anirudha', 'S Badrinath', 'S Randiv', 'SB Jakati', 'SB Styris', 'SK Raina', 'TG Southee'), ('AC Gilchrist', 'AM Nayar', 'BA Bhatt', 'KD Karthik', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'R McLaren', 'RJ Harris', 'SE Marsh', 'Sunny Singh'))"
2020-10-01,Sheikh Zayed Stadium,"('Kings XI Punjab', 'Mumbai Indians')",Kings XI Punjab,field,Mumbai Indians,"(('GJ Maxwell', 'JDS Neesham', 'K Gowtham', 'KK Nair', 'KL Rahul', 'MA Agarwal', 'Mohammed Shami', 'N Pooran', 'Ravi Bishnoi', 'SN Khan', 'SS Cottrell'), ('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JL Pattinson', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'))"
2013-04-28,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'DP Nannes', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina', 'WP Saha'), ('BB McCullum', 'DB Das', 'EJG Morgan', 'G Gambhir', 'JH Kallis', 'L Balaji', 'MS Bisla', 'Mohammed Shami', 'R Bhatia', 'SP Narine', 'YK Pathan'))"
2024-04-15,"M Chinnaswamy Stadium, Bengaluru","('Royal Challengers Bengaluru', 'Sunrisers Hyderabad')",Royal Challengers Bengaluru,field,Sunrisers Hyderabad,"(('Anuj Rawat', 'F du Plessis', 'KD Karthik', 'LH Ferguson', 'MK Lomror', 'RJW Topley', 'RM Patidar', 'Saurav Chauhan', 'V Kohli', 'Vijaykumar Vyshak', 'WG Jacks', 'Yash Dayal'), ('AK Markram', 'Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'H Klaasen', 'JD Unadkat', 'M Markande', 'Nithish Kumar Reddy', 'PJ Cummins', 'Shahbaz Ahmed', 'T Natarajan', 'TM Head'))"
2016-04-28,Wankhede Stadium,"('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('AD Russell', 'CA Lynn', 'G Gambhir', 'JD Unadkat', 'R Sathish', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav', 'YK Pathan'), ('AT Rayudu', 'HH Pandya', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'PA Patel', 'RG Sharma', 'TG Southee'))"
2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Punjab Kings')",Punjab Kings,field,Punjab Kings,"(('AM Rahane', 'DJ Mitchell', 'DL Chahar', 'MM Ali', 'MS Dhoni', 'Mustafizur Rahman', 'RA Jadeja', 'RD Gaikwad', 'RJ Gleeson', 'S Dube', 'SN Thakur', 'Sameer Rizvi'), ('Arshdeep Singh', 'Ashutosh Sharma', 'HV Patel', 'Harpreet Brar', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'P Simran Singh', 'RD Chahar', 'RR Rossouw', 'SM Curran', 'Shashank Singh'))"
2017-05-05,M Chinnaswamy Stadium,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Kings XI Punjab,"(('AR Patel', 'GJ Maxwell', 'HM Amla', 'M Vohra', 'MJ Guptill', 'MM Sharma', 'SE Marsh', 'Sandeep Sharma', 'T Natarajan', 'VR Aaron', 'WP Saha'), ('A Choudhary', 'AB de Villiers', 'CH Gayle', 'KM Jadhav', 'Mandeep Singh', 'P Negi', 'S Aravind', 'S Badree', 'SR Watson', 'V Kohli', 'YS Chahal'))"
2011-05-10,"Punjab Cricket Association Stadium, Mohali","('Kings XI Punjab', 'Mumbai Indians')",Mumbai Indians,field,Kings XI Punjab,"(('AC Gilchrist', 'BA Bhatt', 'Bipul Sharma', 'DJ Hussey', 'KD Karthik', 'Mandeep Singh', 'P Kumar', 'PC Valthaty', 'RJ Harris', 'SE Marsh', 'SJ Srivastava'), ('A Symonds', 'AC Blizzard', 'AT Rayudu', 'DS Kulkarni', 'Harbhajan Singh', 'KA Pollard', 'MM Patel', 'RG Sharma', 'SL Malinga', 'SR Tendulkar', 'TL Suman'))"
2010-04-13,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Chennai Super Kings,"(('DE Bollinger', 'JA Morkel', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'MS Dhoni', 'R Ashwin', 'S Anirudha', 'S Badrinath', 'SB Jakati', 'SK Raina'), ('AB Agarkar', 'AB Dinda', 'AD Mathews', 'BB McCullum', 'CH Gayle', 'DJ Hussey', 'Iqbal Abdulla', 'LR Shukla', 'MK Tiwary', 'SC Ganguly', 'WP Saha'))"
2013-05-15,Wankhede Stadium,"('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,field,Mumbai Indians,"(('AP Tare', 'AT Rayudu', 'DS Kulkarni', 'GJ Maxwell', 'Harbhajan Singh', 'KA Pollard', 'KD Karthik', 'MG Johnson', 'PP Ojha', 'RG Sharma', 'SL Malinga'), ('AA Chavan', 'AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'KK Cooper', 'PV Tambe', 'R Dravid', 'SR Watson', 'STR Binny', 'SV Samson'))"
2015-04-14,"Sardar Patel Stadium, Motera","('Mumbai Indians', 'Rajasthan Royals')",Mumbai Indians,bat,Rajasthan Royals,"(('AJ Finch', 'CJ Anderson', 'J Suchith', 'KA Pollard', 'P Suyal', 'PA Patel', 'R Vinay Kumar', 'RG Sharma', 'S Gopal', 'SL Malinga', 'UBT Chand'), ('AM Rahane', 'CH Morris', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'SPD Smith', 'STR Binny', 'SV Samson', 'TG Southee'))"
2017-05-04,Feroz Shah Kotla,"('Delhi Daredevils', 'Gujarat Lions')",Delhi Daredevils,field,Delhi Daredevils,"(('A Mishra', 'CJ Anderson', 'K Rabada', 'KK Nair', 'MN Samuels', 'Mohammed Shami', 'PJ Cummins', 'RR Pant', 'S Nadeem', 'SS Iyer', 'SV Samson'), ('AJ Finch', 'Ankit Soni', 'BB McCullum', 'Basil Thampi', 'DR Smith', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'PJ Sangwan', 'RA Jadeja', 'SK Raina'))"
2011-05-10,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Pune Warriors')",Deccan Chargers,bat,Pune Warriors,"(('A Mishra', 'B Chipli', 'DB Ravi Teja', 'DT Christian', 'DW Steyn', 'I Sharma', 'JP Duminy', 'KC Sangakkara', 'PP Ojha', 'S Dhawan', 'S Sohal'), ('B Kumar', 'CJ Ferguson', 'JD Ryder', 'MK Pandey', 'MR Marsh', 'R Sharma', 'RV Uthappa', 'SB Wagh', 'SC Ganguly', 'WD Parnell', 'Yuvraj Singh'))"
